order_id,customer_id,product_id,quantity,price,order_date
2334,5,40,3,35.6,2022-06-21
6228,8,13,7,36.52,2023-03-08
7784,9,44,4,46.56,2023-04-22
6588,5,26,1,15.87,2022-10-23
5910,8,32,10,77.0,2022-10-05
3983,3,11,4,85.04,2022-11-25
9464,10,15,6,45.41,2023-03-25
8272,9,11,1,71.7,2022-09-10
3569,5,47,9,19.35,2023-05-25
2997,7,49,1,39.54,2022-08-09
4237,8,10,5,47.66,2022-10-19
4010,7,40,1,30.73,2023-04-22
3760,4,30,4,84.08,2023-03-09
1098,9,46,2,26.31,2022-07-11
4018,1,20,4,36.85,2022-06-18
5427,7,17,10,23.25,2022-11-05
4837,10,11,9,74.71,2023-01-14
5200,5,50,6,82.12,2023-02-28
4388,10,32,6,76.36,2022-07-23
9042,9,5,3,95.74,2022-09-16
9685,9,40,10,99.72,2023-02-19
3188,10,24,7,20.37,2022-09-20
8712,2,50,3,76.8,2022-07-22
4898,3,9,7,15.84,2022-06-28
8716,3,11,2,51.09,2022-11-16
9863,9,17,8,67.2,2022-11-24
9728,3,9,8,61.04,2022-12-16
3810,9,6,1,80.49,2022-07-16
1589,5,10,1,96.94,2023-01-05
1558,9,20,2,10.85,2022-12-21
3228,8,25,4,81.38,2022-09-20
2363,3,30,5,20.69,2023-04-28
8078,6,34,3,56.94,2023-02-23
3720,10,48,7,84.4,2022-06-18
2060,3,31,9,13.09,2022-09-01
1993,3,19,4,59.11,2022-12-03
2114,7,11,3,97.24,2022-08-15
8337,9,27,8,41.83,2022-11-04
7231,1,38,7,95.54,2023-05-31
2741,4,11,7,71.26,2022-10-23
9362,4,38,7,18.92,2023-04-01
1131,5,28,10,87.52,2022-07-02
7106,10,12,5,87.79,2022-11-23
7370,8,23,3,31.98,2022-11-01
8994,1,41,2,94.41,2022-07-13
7396,4,36,4,11.7,2023-05-08
5994,8,26,1,25.63,2022-07-17
9841,10,23,5,35.88,2022-11-29
6998,5,23,4,84.19,2023-02-15
9481,9,8,10,97.99,2022-06-04
2278,4,10,4,68.22,2023-05-06
3195,7,4,10,21.62,2022-07-28
2467,8,3,2,40.79,2023-03-16
1664,10,29,8,30.38,2023-02-13
3438,2,37,7,37.78,2022-09-10
6495,2,29,5,81.89,2023-02-26
2870,2,1,6,53.66,2023-02-06
7029,9,29,3,68.48,2022-10-28
6946,5,47,9,53.75,2023-02-11
4032,10,1,2,18.63,2023-05-24
4769,8,20,10,99.15,2023-04-01
9065,8,1,2,29.32,2023-02-15
8121,3,19,8,79.58,2022-12-13
1509,8,29,9,61.11,2022-10-18
2036,4,42,9,32.51,2023-03-23
2254,2,37,7,72.7,2022-09-19
4683,5,33,7,58.24,2022-12-07
7902,6,44,10,55.25,2023-04-13
4918,4,20,7,76.76,2022-06-12
2739,8,18,5,63.47,2022-09-17
4003,9,11,9,90.44,2023-04-06
9071,2,36,9,33.97,2023-04-11
3361,1,26,8,82.75,2023-05-04
9844,3,22,4,91.52,2023-03-28
9983,9,8,9,98.42,2022-10-21
6648,6,47,4,41.7,2022-11-05
2011,8,22,3,49.88,2023-05-26
6270,10,36,5,96.07,2022-11-06
5099,3,11,2,14.38,2022-10-09
3578,1,10,3,73.61,2023-04-24
7968,5,47,1,21.08,2023-02-25
6437,3,45,7,36.37,2022-12-21
4739,3,21,6,25.78,2023-01-29
7506,5,22,2,61.08,2023-04-23
8312,2,27,9,36.15,2022-08-24
8304,10,24,5,48.25,2022-06-06
2335,5,34,10,54.98,2023-01-11
3585,2,20,5,30.16,2023-05-25
8051,8,20,9,57.28,2023-02-17
5045,1,25,2,14.48,2022-06-12
1747,6,10,9,34.54,2022-06-23
1849,4,39,10,92.11,2023-03-26
3553,1,4,7,94.45,2022-10-28
6475,9,25,2,12.59,2022-09-04
7232,6,31,1,47.4,2023-03-24
2266,10,43,5,39.12,2022-06-30
1257,10,21,4,83.76,2023-02-09
5720,2,36,6,35.57,2022-09-20
4897,9,49,2,85.9,2022-10-05
